date,product,units_sold,unit_price,cogs_per_unit,fulfilment_cost_per_unit,marketing_spend,returns_rate,revenue,cogs,returns_cost,fulfilment_cost,gross_profit,net_profit,month
2023-01-01,Product A,85,25,13,3,341.7,0.052,2125,1105,110.5,255,1020,312.8,2023-01
2023-01-01,Product B,53,40,23,4,327.13,0.046,2120,1219,97.52,212,901,264.35,2023-01
2023-01-01,Product C,25,60,32,5,203.51,0.027,1500,800,40.5,125,700,330.99,2023-01
2023-01-01,Product D,19,90,48,7,209.79,0.017,1710,912,29.070000000000004,133,798,426.14,2023-01
2023-01-02,Product A,90,25,13,3,276.75,0.089,2250,1170,200.25,270,1080,333.0,2023-01
2023-01-02,Product B,56,40,23,4,308.57,0.038,2240,1288,85.12,224,952,334.31,2023-01
2023-01-02,Product C,31,60,32,5,244.6,0.029,1860,992,53.940000000000005,155,868,414.4599999999999,2023-01
2023-01-02,Product D,21,90,48,7,254.14,0.015,1890,1008,28.349999999999998,147,882,452.51,2023-01
2023-01-03,Product A,90,25,13,3,431.37,0.08,2250,1170,180.0,270,1080,198.63,2023-01
2023-01-03,Product B,49,40,23,4,341.1,0.045,1960,1127,88.2,196,833,207.69999999999993,2023-01
2023-01-03,Product C,36,60,32,5,239.93,0.033,2160,1152,71.28,180,1008,516.79,2023-01
2023-01-03,Product D,21,90,48,7,168.78,0.018,1890,1008,34.019999999999996,147,882,532.2,2023-01
2023-01-04,Product A,63,25,13,3,324.76,0.071,1575,819,111.82499999999999,189,756,130.41500000000002,2023-01
2023-01-04,Product B,58,40,23,4,298.67,0.038,2320,1334,88.16,232,986,367.17,2023-01
2023-01-04,Product C,29,60,32,5,290.08,0.028,1740,928,48.72,145,812,328.2,2023-01
2023-01-04,Product D,17,90,48,7,202.38,0.013,1530,816,19.89,119,714,372.73,2023-01
2023-01-05,Product A,67,25,13,3,378.42,0.087,1675,871,145.725,201,804,78.85499999999996,2023-01
2023-01-05,Product B,52,40,23,4,365.36,0.057,2080,1196,118.56,208,884,192.08000000000004,2023-01
2023-01-05,Product C,24,60,32,5,271.88,0.018,1440,768,25.919999999999998,120,672,254.20000000000005,2023-01
